    1    -3815.0732745674
    2    -3814.8572733402
    3    -3814.6406089998
    4    -3814.1023613448
    5    -3814.0688938962
    6    -3814.0521685020
    7    -3813.8605848897
    8    -3813.8492927402
    9    -3813.8410476745
   10    -3813.6626914004
   11    -3813.6209541545
   12    -3813.5996397634
   13    -3813.4624132327
   14    -3813.4134819331
   15    -3813.4012458841
   16    -3813.3669204070
   17    -3813.2751064812
   18    -3813.1803630472
   19    -3813.1567966671
   20    -3813.1500966741
   21    -3812.9661410337
   22    -3812.9357954945
   23    -3812.8827978676
   24    -3812.4457443279
   25    -3812.3063896615
   26    -3812.3022265508
   27    -3812.2892734691
   28    -3812.0334168723
   29    -3812.0136553388
   30    -3812.0106863565
   31    -3811.8159628211
   32    -3811.8120458330
   33    -3811.8020984150
   34    -3811.7602219533
   35    -3811.7597587464
   36    -3811.7528385831
   37    -3811.6099329109
   38    -3811.5849485299
   39    -3811.5693566186
   40    -3810.8223902038
   41    -3810.8223585663
   42    -3810.7700358525
   43    -3810.7695638235
   44    -3810.7692067644
   45    -3808.7842455418
   46    -3808.2262519236
   47    -3808.2262045048
   48    -3808.2252407171
   49    -3808.1245599939
   50    -3808.1146758929
